    Item       #   Sales    Cost Revenue
       1       8   64.00   28.00   36.00
       2       2   16.00    7.00    9.00
       3       4   20.00    6.00   14.00
       4       6   30.00    9.00   21.00
       5       3   15.00    4.50   10.50
       6       5   25.00    7.50   17.50
       7       5   12.50    2.50   10.00
       8       5   12.50    3.00    9.50
       9       5   12.50    3.50    9.00
      10       6   21.00    6.00   15.00
      11       2    7.00    2.20    4.80
      12       4   14.00    4.80    9.20
      13       5   17.50    6.00   11.50
      14       2    6.00    1.00    5.00
      15       4   12.00    2.40    9.60
      16       1    3.00    0.70    2.30
      17       4   16.00    4.00   12.00
      18       5   20.00    5.50   14.50
      19       6   24.00    7.20   16.80
      20       3   25.50    7.50   18.00
      21       3   25.50    7.50   18.00
      22       6   51.00   15.00   36.00
      23       2   17.00    5.00   12.00
      24       6   51.00   15.00   36.00
      25       7   66.50   18.90   47.60
      26       0    0.00    0.00    0.00
      27       3   28.50    8.10   20.40
      28       5   47.50   13.50   34.00
      29       3   28.50    8.10   20.40
      30       5   47.50   14.50   33.00
      31       3   24.00   10.50   13.50
      32       4   32.00   14.00   18.00
      33       2   10.00    3.00    7.00
      34       5   25.00    7.50   17.50
      35       4   20.00    6.00   14.00
      36       4   20.00    6.00   14.00
      37       5   30.00    8.75   21.25
      38       4   24.00    7.00   17.00
      39       6   36.00   10.50   25.50
      40       3   22.50    4.50   18.00
      41       4   30.00    6.00   24.00
      42      10   75.00   15.00   60.00
      43       4   30.00    6.00   24.00
      44       2   15.00    3.00   12.00
      45       4   38.00   11.60   26.40
      46       7   66.50   20.30   46.20
      47       3   28.50    8.70   19.80
      48       3   28.50    8.70   19.80
      49       6   57.00   17.40   39.60
      50       4   30.00    6.00   24.00
